#{"t_start": 1710746249.745331, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance,agent_done
156.96236,161,27.411659,False,True,6.050973564145447,False
183.62569,208,34.942299,False,True,7.69341834587771,False
298.09735,353,56.642508,False,True,13.45442773042844,False
246.5947,399,63.889185,True,False,15.119092984552605,False
227.0864,430,68.745373,True,False,16.441272852572236,False
306.33652,432,69.34216,True,False,16.064441807147027,False
503.23877,623,97.642728,True,False,22.480574527844727,False
535.5256,631,99.338312,False,True,23.96194352801269,False
170.77792,280,106.454616,True,False,10.618302778076517,False
171.6174,275,110.562957,True,False,10.654793529207613,False
214.78656,325,118.48442,True,False,12.20774501554458,False
658.3776,702,134.507248,False,True,25.109866405034023,False
177.56834,251,144.576279,False,True,9.602692551584953,False
375.09412,491,173.37287,True,False,17.78340092557387,False
696.6661,826,182.177742,True,False,30.325479320460275,False
328.03717,432,199.373853,True,False,15.939409116376476,False
500.29758,721,206.636793,True,False,26.605925873687333,False
408.6559,679,212.985733,True,False,24.33656822892519,False
175.88187,208,213.848341,False,True,8.029375935757065,False
376.82193,499,220.457012,True,False,18.790129839912055,False
116.76815,228,234.77505,True,False,9.108759987182387,False
213.96567,374,270.904858,True,False,14.350111814524334,False
261.91855,347,287.377833,True,False,12.844848090833377,False
376.8544,543,290.316557,True,False,19.799990892584226,False
1104.3044,1781,305.943385,True,False,65.37803031588824,False
150.54167,267,342.559876,True,False,10.233959044540036,False
1322.8456,1478,357.725533,False,True,53.609522511221286,False
921.9095,968,382.186068,False,True,35.507244722350514,False
272.49457,353,396.070876,False,True,12.824393096660044,False
1221.7167,1415,403.648403,False,True,50.876964695239046,False
1099.2496,1161,405.075197,False,True,42.455712271508304,False
795.4329,852,415.588702,False,True,31.3323254533305,False
521.5048,729,431.257596,True,False,26.924004082534427,False
444.0337,577,468.756021,True,False,21.53289920296341,False
367.86383,515,473.98968,True,False,19.052508342121612,False
1111.2979,1330,505.803941,True,False,49.214839246349186,False
501.00198,635,510.639694,True,False,23.22664949861002,False
875.23566,1082,521.404696,True,False,39.971886129945965,False
366.15863,449,537.54986,True,False,17.154391608927952,False
623.19055,753,588.281224,True,False,27.292236551031223,False
821.302,1058,591.299518,True,False,38.43526082235222,False
412.81552,540,593.466029,True,False,20.152193512939288,False
553.58655,618,600.849909,False,True,23.120965021684295,False
1321.6787,1432,621.807662,False,True,52.62594775299801,False
1349.2511,1574,658.351743,True,False,58.586904903589215,False
613.22986,927,677.144009,False,True,34.384416048382924,False
430.90897,513,685.971898,False,True,19.164671465827286,False
412.30643,551,690.071422,True,False,19.873772255279597,False
526.4453,541,697.463783,False,True,19.35999811353318,False
363.42505,433,701.487273,False,True,16.18299273031666,False
274.19272,380,716.214049,True,False,13.996234143071385,False
1040.1985,1157,728.579506,True,False,42.530501020724465,False
315.75272,441,752.457679,True,False,15.738900198273694,False
494.99,607,781.210017,True,False,21.768062930533027,False
433.4182,557,785.551224,True,False,19.883759450842174,False
397.19037,481,788.937969,True,False,17.357937240701357,False
440.4304,617,791.136626,True,False,22.078683827845087,False
745.6271,1265,795.786949,True,False,45.94421015633766,False
365.01962,516,806.920418,True,False,18.66576446344442,False
256.5719,339,840.654989,True,False,12.39048240213274,False
462.10092,586,842.350936,True,False,21.858936294796052,False
378.11267,483,856.206886,True,False,17.98116060957993,False
651.6516,1205,861.484202,True,False,43.54406961962181,False
143.45781,160,885.688769,False,True,6.422460946364352,False
358.4838,530,888.510459,True,False,19.11083903480706,False
356.1044,397,902.734609,False,True,14.986736803994008,False
602.7023,917,926.985229,True,False,33.223471144695246,False
323.69705,909,931.301638,True,False,33.72723192791621,False
751.9305,1301,1009.17198,True,False,46.52797161518927,False
505.4059,744,1013.950303,True,False,27.22302440952523,False
610.2235,761,1019.520939,True,False,27.789892839366896,False
804.37036,1211,1041.920731,True,False,43.41531833527499,False
600.4224,965,1090.464351,True,False,35.402348657354054,False
676.5936,1038,1097.718374,True,False,37.74963529632666,False
812.4852,1214,1100.385397,True,False,44.11795389649475,False
651.9029,870,1139.805866,True,False,31.474687251062022,False
807.25854,1108,1180.043671,True,False,40.43615445137702,False
981.1963,1295,1213.466116,True,False,46.59471728783009,False
356.8807,493,1214.485143,True,False,18.220385644656407,False
554.33344,856,1227.485914,True,False,31.162310211680435,False
798.22736,1273,1233.994869,True,False,45.705175152652494,False
1652.8195,2484,1247.929409,True,False,88.56017025368503,False
912.75244,1277,1307.656572,True,False,45.73210267591757,False
321.00327,441,1315.417709,True,False,15.866566427400794,False
1009.384,1408,1319.105914,True,False,50.33790265514914,False
809.87244,1390,1403.854874,True,False,49.01308727970896,False
902.06647,1227,1413.336539,True,False,43.567283692967585,False
895.65405,1328,1427.824955,True,False,47.03789566970428,False
953.7828,1342,1443.353951,True,False,47.95227852544469,False
1058.3259,1343,1463.251293,True,False,47.78159126491277,False
786.9314,1042,1464.324856,True,False,37.769183140358116,False
839.2,1035,1473.793476,True,False,36.96872869347455,False
326.89072,444,1481.020702,True,False,16.503961608916267,False
1040.4943,1224,1499.028295,True,False,44.24291821563002,False
218.11147,241,1500.614117,False,True,9.207374076374556,False
500.86517,655,1580.073035,True,False,23.22104992250381,False
1077.7941,1344,1607.736542,True,False,47.51488925163262,False
1042.5719,1257,1633.224998,True,False,45.72722860669683,False
